"Wheat - Monthly Price (Indian"
"Rupee per Metric Ton)"
"Month     Price Change"
"Feb 2020 15,384.32          -"
"Mar 2020 15,537.29    0.99%"
"Apr 2020 16,684.68    7.38%"
"May 2020 15,567.78 -6.69%"
"Jun 2020 15,022.12 -3.51%"
"Jul 2020 16,663.79 10.93%"
"Aug 2020 16,651.84 -0.07%"
"Sep 2020 18,204.20    9.32%"
"Oct 2020 20,011.68    9.93%"
"Nov 2020 20,275.09    1.32%"
"Dec 2020 19,780.81 -2.44%"
"Jan 2021 21,150.00    6.92%"
"Feb 2021 21,058.39 -0.43%"
"Mar 2021 19,881.90 -5.59%"
"Apr 2021 20,907.87    5.16%"
"May 2021 21,805.72    4.29%"
"Jun 2021 21,004.56 -3.67%"
"Jul 2021 21,929.29   4.40%"
"Aug 2021 24,072.66    9.77%"
"Sep 2021 24,848.75    3.22%"
"Oct 2021 26,566.01    6.91%"
"Nov 2021 28,262.60    6.39%"
"Dec 2021 28,463.96    0.71%"
"Jan 2022 27,861.55 -2.12%"
"Feb 2022 29,300.08    5.16%"
"Mar 2022 37,077.69 26.54%"
"Apr 2022 37,731.30    1.76%"
"May 2022 40,377.80    7.01%"
"Jun 2022 35,884.02 -11.13%"
"Jul 2022 30,454.38 -15.13%"
""
"Aug 2022 30,458.45    0.01%"
"Sep 2022 33,635.00 10.43%"
"Oct 2022 36,057.68    7.20%"
"Nov 2022 34,586.94 -4.08%"
"Dec 2022 31,818.65 -8.00%"
"Jan 2023 31,147.30 -2.11%"
"Feb 2023 32,608.03    4.69%"
"Mar 2023 30,436.65 -6.66%"
"Apr 2023 31,018.62    1.91%"
"May 2023 30,277.14 -2.39%"
"Jun 2023 28,417.44 -6.14%"
"Jul 2023 28,392.08 -0.09%"
"Aug 2023 26,145.28 -7.91%"
"Sep 2023 26,136.85 -0.03%"
"Oct 2023 24,812.16 -5.07%"
"Nov 2023 23,617.12 -4.82%"
"Dec 2023 24,250.11    2.68%"
"Jan 2024 23,601.74 -2.67%"
"Feb 2024 23,105.37 -2.10%"
"Mar 2024 22,810.24 -1.28%"
"Apr 2024 22,711.00 -0.44%"
"May 2024 24,140.29   6.29%"
"Jun 2024 22,166.38 -8.18%"
"Jul 2024 21,760.81 -1.83%"
"Aug 2024 21,045.38 -3.29%"
"Sep 2024 22,600.11   7.39%"
"Oct 2024 22,926.06   1.44%"
"Nov 2024 21,403.33 -6.64%"
""
