"Bananas - Monthly Price"
"(Indian Rupee per"
"Kilogram)"
"Month Price Change"
"Feb 2020   84.31        -"
"Mar 2020   89.18   5.78%"
"Apr 2020   97.52   9.36%"
"May 2020 98.36     0.86%"
"Jun 2020   98.42   0.06%"
"Jul 2020 95.27    -3.20%"
"Aug 2020 93.34     -2.03%"
"Sep 2020 91.14     -2.36%"
"Oct 2020   83.03   -8.90%"
"Nov 2020 83.92     1.08%"
"Dec 2020 84.71     0.93%"
"Jan 2021   90.65   7.02%"
"Feb 2021   88.77   -2.07%"
"Mar 2021   89.54   0.86%"
"Apr 2021   91.53   2.23%"
"May 2021 90.23     -1.42%"
"Jun 2021   90.48   0.27%"
"Jul 2021 91.66    1.31%"
"Aug 2021 91.24     -0.46%"
"Sep 2021 86.87     -4.79%"
"Oct 2021   86.14   -0.84%"
"Nov 2021 84.91     -1.43%"
"Dec 2021 87.63     3.20%"
"Jan 2022   86.36   -1.44%"
"Feb 2022   93.04   7.73%"
"Mar 2022 105.98 13.91%"
"Apr 2022 111.23    4.95%"
"May 2022 112.87    1.48%"
"Jun 2022 112.43    -0.39%"
"Jul 2022 121.82   8.35%"
""
"Aug 2022 132.86    9.06%"
"Sep 2022 130.00    -2.15%"
"Oct 2022 129.26    -0.57%"
"Nov 2022 135.02    4.45%"
"Dec 2022 138.37    2.48%"
"Jan 2023 137.57    -0.57%"
"Feb 2023 137.12    -0.33%"
"Mar 2023 131.67    -3.98%"
"Apr 2023 135.33    2.78%"
"May 2023 132.56    -2.05%"
"Jun 2023 130.78    -1.34%"
"Jul 2023 127.37   -2.60%"
"Aug 2023 129.15    1.39%"
"Sep 2023 129.57    0.33%"
"Oct 2023 130.68    0.85%"
"Nov 2023 129.10    -1.21%"
"Dec 2023 130.78    1.30%"
"Jan 2024 133.84    2.34%"
"Feb 2024 130.25    -2.68%"
"Mar 2024 136.12    4.50%"
"Apr 2024 135.95    -0.12%"
"May 2024 118.44 -12.88%"
"Jun 2024   90.99 -23.18%"
"Jul 2024 86.12    -5.35%"
"Aug 2024 84.74     -1.61%"
"Sep 2024 86.31     1.86%"
"Oct 2024   86.55   0.27%"
"Nov 2024 76.76 -11.31%"
""
