"Maize (corn) - Monthly Price"
"(Indian Rupee per Metric Ton)"
"Month      Price Change"
"Feb 2020 12,054.10          -"
"Mar 2020 12,070.44    0.14%"
"Apr 2020 11,192.96 -7.27%"
"May 2020 10,888.21 -2.72%"
"Jun 2020 11,204.13    2.90%"
"Jul 2020 11,444.02   2.14%"
"Aug 2020 11,151.50 -2.56%"
"Sep 2020 12,206.69    9.46%"
"Oct 2020 13,721.48 12.41%"
"Nov 2020 14,139.09    3.04%"
"Dec 2020 14,640.97    3.55%"
"Jan 2021 17,141.52 17.08%"
"Feb 2021 17,845.05    4.10%"
"Mar 2021 17,846.61    0.01%"
"Apr 2021 19,961.26 11.85%"
"May 2021 22,396.99 12.20%"
"Jun 2021 21,520.21 -3.91%"
"Jul 2021 20,748.88 -3.58%"
"Aug 2021 19,035.14 -8.26%"
"Sep 2021 17,345.17 -8.88%"
"Oct 2021 17,950.61    3.49%"
"Nov 2021 18,525.43    3.20%"
"Dec 2021 19,983.16    7.87%"
"Jan 2022 20,593.90    3.06%"
"Feb 2022 21,955.92    6.61%"
"Mar 2022 25,582.31 16.52%"
"Apr 2022 26,524.20    3.68%"
"May 2022 26,659.29    0.51%"
"Jun 2022 26,211.67 -1.68%"
"Jul 2022 25,714.64 -1.90%"
""
"Aug 2022 23,058.23 -10.33%"
"Sep 2022 25,090.23    8.81%"
"Oct 2022 28,286.28 12.74%"
"Nov 2022 26,260.15 -7.16%"
"Dec 2022 24,893.71 -5.20%"
"Jan 2023 24,794.35 -0.40%"
"Feb 2023 24,630.93 -0.66%"
"Mar 2023 23,246.76 -5.62%"
"Apr 2023 23,877.07    2.71%"
"May 2023 22,076.77 -7.54%"
"Jun 2023 21,950.11 -0.57%"
"Jul 2023 19,918.01 -9.26%"
"Aug 2023 17,187.07 -13.71%"
"Sep 2023 18,589.33    8.16%"
"Oct 2023 19,202.16    3.30%"
"Nov 2023 17,596.03 -8.36%"
"Dec 2023 17,205.48 -2.22%"
"Jan 2024 16,511.49 -4.03%"
"Feb 2024 15,690.91 -4.97%"
"Mar 2024 15,816.86    0.80%"
"Apr 2024 15,984.44    1.06%"
"May 2024 16,497.51   3.21%"
"Jun 2024 16,069.48 -2.59%"
"Jul 2024 14,835.25 -7.68%"
"Aug 2024 14,289.22 -3.68%"
"Sep 2024 15,500.55   8.48%"
"Oct 2024 15,993.21   3.18%"
"Nov 2024 16,981.80   6.18%"
""
