Month,Price,Change
2/1/20,107.17,-
3/1/20,110.73,0.0332
4/1/20,107.43,-0.0298
5/1/20,107.44,0.0001
6/1/20,107.51,0.0006
7/1/20,111.78,0.0397
8/1/20,119.48,0.0689
9/1/20,117.6,-0.0157
10/1/20,110.95,-0.0566
11/1/20,118.83,0.071
12/1/20,117.12,-0.0144
1/1/21,114.05,-0.0262
2/1/21,117.88,0.0336
3/1/21,118.65,0.0065
4/1/21,122.05,0.0286
5/1/21,129.11,0.0579
6/1/21,137.55,0.0654
7/1/21,155,0.1269
8/1/21,155.78,0.005
9/1/21,170.05,0.0916
10/1/21,173.78,0.0219
11/1/21,179.5,0.033
12/1/21,187.34,0.0436
1/1/22,180.91,-0.0343
2/1/22,180.83,-0.0005
3/1/22,174.6,-0.0344
4/1/22,174.46,-0.0008
5/1/22,175.49,0.0059
6/1/22,178.8,0.0188
7/1/22,175.96,-0.0159
8/1/22,192.52,0.0941
9/1/22,197.41,0.0254
10/1/22,186.9,-0.0533
11/1/22,166.93,-0.1068
12/1/22,168.84,0.0115
1/1/23,173.6,0.0282
2/1/23,189.16,0.0896
3/1/23,193.39,0.0223
4/1/23,209.15,0.0815
5/1/23,222.3,0.0629
6/1/23,239.35,0.0767
7/1/23,230.92,-0.0352
8/1/23,227.66,-0.0141
9/1/23,226.75,-0.004
10/1/23,218.07,-0.0383
11/1/23,224.89,0.0312
12/1/23,249.07,0.1075
1/1/24,271.01,0.0881
2/1/24,280.42,0.0347
3/1/24,303.77,0.0833
4/1/24,352.8,0.1614
5/1/24,336.97,-0.0449
6/1/24,375.63,0.1147
7/1/24,395.48,0.0529
8/1/24,396.83,0.0034
9/1/24,446.66,0.1256
10/1/24,410.88,-0.0801
11/1/24,420.05,0.0223
