"Tea - Monthly Price (Indian"
"Rupee per Kilogram)"
"Month Price Change"
"Feb 2020 150.76           -"
"Mar 2020 147.89     -1.90%"
"Apr 2020 160.00     8.19%"
"May 2020 149.05     -6.84%"
"Jun 2020 140.82     -5.52%"
"Jul 2020 133.53    -5.17%"
"Aug 2020 149.34 11.84%"
"Sep 2020 149.20     -0.09%"
"Oct 2020 145.48     -2.49%"
"Nov 2020 147.79     1.59%"
"Dec 2020 142.90     -3.31%"
"Jan 2021 148.41     3.86%"
"Feb 2021 146.99     -0.96%"
"Mar 2021 145.59     -0.95%"
"Apr 2021 142.88     -1.86%"
"May 2021 140.85     -1.42%"
"Jun 2021 133.88     -4.95%"
"Jul 2021 131.16    -2.03%"
"Aug 2021 160.23 22.16%"
"Sep 2021 163.43     2.00%"
"Oct 2021 181.27 10.92%"
"Nov 2021 184.72     1.90%"
"Dec 2021 197.91     7.14%"
"Jan 2022 199.52     0.81%"
"Feb 2022 204.84     2.66%"
"Mar 2022 193.66     -5.46%"
"Apr 2022 192.74     -0.48%"
"May 2022 184.00     -4.54%"
"Jun 2022 164.75 -10.46%"
"Jul 2022 188.70 14.54%"
""
"Aug 2022 187.75     -0.50%"
"Sep 2022 189.38     0.87%"
"Oct 2022 202.54     6.95%"
"Nov 2022 203.75     0.60%"
"Dec 2022 196.84     -3.39%"
"Jan 2023 190.80     -3.07%"
"Feb 2023 189.16     -0.86%"
"Mar 2023 197.50     4.41%"
"Apr 2023 192.75     -2.41%"
"May 2023 183.60     -4.75%"
"Jun 2023 171.90     -6.37%"
"Jul 2023 169.28    -1.52%"
"Aug 2023 186.27 10.03%"
"Sep 2023 186.88     0.33%"
"Oct 2023 179.79     -3.80%"
"Nov 2023 181.57     0.99%"
"Dec 2023 182.43     0.47%"
"Jan 2024 182.89     0.25%"
"Feb 2024 185.01     1.16%"
"Mar 2024 178.44     -3.55%"
"Apr 2024 192.66     7.97%"
"May 2024 181.00    -6.06%"
"Jun 2024 178.63    -1.31%"
"Jul 2024 183.95   2.97%"
"Aug 2024 184.57    0.34%"
"Sep 2024 175.98    -4.65%"
"Oct 2024 173.93    -1.16%"
"Nov 2024 188.94    8.63%"
""
